Repository,Description,Language,Stars,Link
coleam00/Archon,Beta release of Archon OS - the knowledge and task management backbone for AI coding assistants.,Python,0,https://github.com/coleam00/Archon
microsoft/poml,Prompt Orchestration Markup Language,TypeScript,0,https://github.com/microsoft/poml
LMCache/LMCache,Supercharge Your LLM with the Fastest KV Cache Layer,Python,0,https://github.com/LMCache/LMCache
codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,0,https://github.com/codecrafters-io/build-your-own-x
farhanashrafdev/90DaysOfCyberSecurity,"This repository contains a 90-day cybersecurity study plan, along with resources and materials for learning various cybersecurity concepts and technologies. The plan is organized into daily tasks, covering topics such as Network+, Security+, Linux, Python, Traffic Analysis, Git, ELK, AWS, Azure, and Hacking. The repository also includes a `LEARN.md",JavaScript,0,https://github.com/farhanashrafdev/90DaysOfCyberSecurity
jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",C,0,https://github.com/jaywcjlove/awesome-mac
tsoding/nob.h,Header only library for writing build recipes in C.,Python,0,https://github.com/tsoding/nob.h
IBM/mcp-context-forge,"A Model Context Protocol (MCP) Gateway & Registry. Serves as a central management point for tools, resources, and prompts that can be accessed by MCP-compatible LLM applications. Converts REST API endpoints to MCP, composes virtual MCP servers with added security and observability, and converts between protocols (stdio, SSE, Streamable HTTP).",Python,0,https://github.com/IBM/mcp-context-forge
emcie-co/parlant,LLM agents built for control. Designed for real-world use. Deployed in minutes.,C#,0,https://github.com/emcie-co/parlant
PixiEditor/PixiEditor,PixiEditor is a Universal Editor for all your 2D needs,Python,0,https://github.com/PixiEditor/PixiEditor
Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",PHP,0,https://github.com/Shubhamsaboo/awesome-llm-apps
dtyq/magic,Super Magic (超级麦吉). The first open-source all-in-one AI productivity platform (Generalist AI Agent + Workflow Engine + IM + Online collaborative office system),Not specified,0,https://github.com/dtyq/magic
